,ResponseId,Statement,Statement_type,Veracity,Time_to_respond,shareStatus,Vaccination,Social,Economics,Concern_covid,Check_covid,CRT_score,Gender
0,R_uaX5Dv7sUkY8oFP,Hum01,0,1,2.8665,0,0,5,5,100,4,1,Female
1,R_uaX5Dv7sUkY8oFP,Hum02,0,2,5.8985,0,0,5,5,100,4,1,Female
2,R_uaX5Dv7sUkY8oFP,Hum03,0,1,3.388,0,0,5,5,100,4,1,Female
3,R_uaX5Dv7sUkY8oFP,Hum04,0,1,2.5005,0,0,5,5,100,4,1,Female
4,R_uaX5Dv7sUkY8oFP,Hum05,0,3,3.5145,0,0,5,5,100,4,1,Female
5,R_uaX5Dv7sUkY8oFP,Hum06,0,2,4.7745,0,0,5,5,100,4,1,Female
6,R_uaX5Dv7sUkY8oFP,Hum07,0,1,3.6365,0,0,5,5,100,4,1,Female
7,R_uaX5Dv7sUkY8oFP,Hum08,0,5,4.7505,0,0,5,5,100,4,1,Female
8,R_uaX5Dv7sUkY8oFP,Hum09,0,1,2.464,0,0,5,5,100,4,1,Female
9,R_uaX5Dv7sUkY8oFP,Hum10,0,3,5.141,0,0,5,5,100,4,1,Female
10,R_uaX5Dv7sUkY8oFP,AI01,1,1,2.7315,0,0,5,5,100,4,1,Female
11,R_uaX5Dv7sUkY8oFP,AI02,1,1,4.32,0,0,5,5,100,4,1,Female
12,R_uaX5Dv7sUkY8oFP,AI03,1,1,2.9015,0,0,5,5,100,4,1,Female
13,R_uaX5Dv7sUkY8oFP,AI04,1,1,2.58,0,0,5,5,100,4,1,Female
14,R_uaX5Dv7sUkY8oFP,AI05,1,1,2.689,0,0,5,5,100,4,1,Female
15,R_uaX5Dv7sUkY8oFP,AI06,1,1,2.4735,0,0,5,5,100,4,1,Female
16,R_uaX5Dv7sUkY8oFP,AI07,1,1,2.3685,0,0,5,5,100,4,1,Female
17,R_uaX5Dv7sUkY8oFP,AI08,1,1,3.6505,0,0,5,5,100,4,1,Female
18,R_uaX5Dv7sUkY8oFP,AI09,1,1,2.4005,0,0,5,5,100,4,1,Female
19,R_uaX5Dv7sUkY8oFP,AI10,1,1,3.0795,0,0,5,5,100,4,1,Female
20,R_0N8NtfCM1SRFOtH,Hum01,0,1,3.342,0,1,1,1,93,5,2,Female
21,R_0N8NtfCM1SRFOtH,Hum02,0,3,6.5025,0,1,1,1,93,5,2,Female
