,ResponseId,Statement,fake_news_generation_source,PerceivedVeracity,Time_to_respond,WillingnessToShare,VaccinationStatus,SocialOrientation,EconomicOrientation,PoliticalOrientation,Concern,NewsConsumption,CRT,Age,Gender,Religiosity,Income,Fluency,EducationYears,Ethnicity,StatementSequence,EthnicityBinary,GenderBinary,fall_for_fake_news,statement_source
0,R_0N8NtfCM1SRFOtH,Hum01,0,0,3.342,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,7,1,1,0,0
1,R_0N8NtfCM1SRFOtH,Hum02,0,2,6.5025,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,13,1,1,1,0
2,R_0N8NtfCM1SRFOtH,Hum03,0,0,2.7935,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,18,1,1,0,0
3,R_0N8NtfCM1SRFOtH,Hum04,0,1,6.175,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,11,1,1,0,0
4,R_0N8NtfCM1SRFOtH,Hum05,0,0,2.679,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,17,1,1,0,1
5,R_0N8NtfCM1SRFOtH,Hum06,0,0,3.9375,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,1,1,1,0,1
6,R_0N8NtfCM1SRFOtH,Hum07,0,0,2.8595,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,16,1,1,0,2
7,R_0N8NtfCM1SRFOtH,Hum08,0,3,5.2745,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,15,1,1,1,2
8,R_0N8NtfCM1SRFOtH,Hum09,0,0,4.1115,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,2,1,1,0,2
9,R_0N8NtfCM1SRFOtH,Hum10,0,2,4.0345,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,6,1,1,1,2
10,R_0N8NtfCM1SRFOtH,AI01,1,0,17.5805,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,5,1,1,0,3
11,R_0N8NtfCM1SRFOtH,AI02,1,2,3.796,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,14,1,1,1,3
